Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time
ENGL,2120,World Literature,3,Angela M Naimou,TR,Daniel Hall,14:00:00,15:15:00
CH,1020,General Chemistry,4,Dennis F Taylor,MWF,Online,9:05:00,9:55:00
CH,1020,General Chemistry,4,Tania Houjeiry,MWF,Hendrix Student Center,10:10:00,11:00:00
CH,1020,General Chemistry,4,William Wesley McWHorter,MWF,Tillman Hall,11:15:00,12:05:00
CH,1020,General Chemistry,4,William Wesley McWHorter,MWF,Tillman Hall,12:20:00,13:10:00
CH,1020,General Chemistry,4,Olt E Geiculescu,MWF,Brooks Center/Performing Arts,13:25:00,14:15:00
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,8:00:00,9:15:00
CH,1020,General Chemistry,4,MyCia Cox,TR,Online,9:30:00,10:45:00
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,11:00:00,12:15:00
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,14:00:00,15:15:00
CH,1020,General Chemistry,4,Stephen Jon Schvaneveldt,MWF,Strom Thurmond Institute,11:15:00,12:05:00
CH,1020,General Chemistry,4,Shiou-jyh Hwu,TR,Holtzendorff Hall,11:00:00,12:15:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,9:05:00,11:55:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,12:20:00,15:10:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,15:35:00,18:25:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,9:30:00,12:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,12:30:00,15:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,15:30:00,18:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,18:30:00,21:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,9:05:00,11:55:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,12:20:00,15:10:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,15:35:00,18:25:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,9:30:00,12:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,12:30:00,15:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,15:30:00,18:20:00
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,18:30:00,21:20:00
BIOL,1040,General Biology II,3,Salvatore A Sparace,TR,Online,14:00:00,15:15:00
BIOL,1040,General Biology II,3,Nora  R Espinoza,MWF,Online,9:05:00,9:55:00
BIOL,1040,General Biology II,3,Salvatore A Sparace,TR,Online,9:30:00,10:45:00
BIOL,1040,General Biology II,3,Donna Ruth Weinbrenner,MWF,Online,9:05:00,9:55:00
BIOL,1040,General Biology II,3,Nora  R Espinoza,MWF,Online,10:10:00,11:00:00
LS,1560,Riflery I,1,Hubert L Cox Jr,T,Shooting Range,9:00:00,10:30:00
LS,1560,Riflery I,1,Hubert L Cox Jr,T,Shooting Range,10:45:00,12:15:00
LS,1560,Riflery I,1,Hubert L Cox Jr,T,Shooting Range,12:30:00,14:00:00
LS,1560,Riflery I,1,Hubert L Cox Jr,T,Shooting Range,14:15:00,15:45:00
LS,1560,Riflery I,1,Hubert L Cox Jr,R,Shooting Range,9:00:00,10:30:00
LS,1560,Riflery I,1,Hubert L Cox Jr,R,Shooting Range,10:45:00,12:15:00
LS,1560,Riflery I,1,Dominic E Cirocco,F,Shooting Range,9:05:00,10:35:00
LS,1560,Riflery I,1,Dominic E Cirocco,F,Shooting Range,10:50:00,12:20:00
LS,1560,Riflery I,1,Dominic E Cirocco,F,Shooting Range,12:35:00,14:05:00
LS,1560,Riflery I,1,Hubert L Cox Jr,W,Shooting Range,14:45:00,16:15:00
LS,1790,Scuba I,1,Robert O Bogan,W,Tillman Hall,18:00:00,20:30:00
MGT,2010,Principles of Management,3,Katherine D Clark,Asynchronous,Online,,
MGT,2010,Principles of Management,3,Jonathan Preedom,MW,Online,14:30:00,15:45:00
MGT,2010,Principles of Management,3,Shuang Liu,MWF,Collge of Business,8:00:00,8:50:00
MGT,2010,Principles of Management,3,Shuang Liu,MWF,Collge of Business,9:05:00,9:55:00
MGT,2010,Principles of Management,3,Liz Laxton,TR,Online,15:30:00,16:45:00
MGT,2010,Principles of Management,3,Keith W Balts,MWF,Collge of Business,10:10:00,11:00:00
MGT,2010,Principles of Management,3,Liz Laxton,MWF,Collge of Business,12:20:00,13:10:00
MGT,2010,Principles of Management,3,Jingyuan Tian,MWF,Collge of Business,13:25:00,14:15:00
MGT,2010,Principles of Management,3,David Ford Peyton,MW,Cooper Library,17:45:00,19:00:00
MGT,2010,Principles of Management,3,Christopher R Mann,TR,Fike Recreation Center,8:00:00,9:15:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-M,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-M,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-M,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-M,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-M,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-T,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-W,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-W,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-W,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Brad Hobbs,MW-T,Online,12:20:00,13:10:00
ECON,2120,Principles of Macroeconomics,3,Ilya Polovinkov,TR,Tillman Hall,15:30:00,16:45:00
ECON,2120,Principles of Macroeconomics,3,Yinlin Dai,MW,Fike Recreation Center,14:30:00,15:45:00
ECON,2120,Principles of Macroeconomics,3,Tyler Francis,MWF,Martin Hall,9:05:00,9:55:00
ECON,2120,Principles of Macroeconomics,3,Tyler Francis,MWF,Martin Hall,10:10:00,11:00:00
ECON,2120,Principles of Macroeconomics,3,Matthew Lee Cronin,TR,Tillman Hall,12:30:00,13:45:00
ECON,2120,Principles of Macroeconomics,3,Matthew Lee Cronin,TR,Poole Agricultural Center,8:00:00,9:15:00
ECON,2120,Principles of Macroeconomics,3,Benjamin James Posmanick,Asynchronous,Online,,
ECON,2120,Principles of Macroeconomics,3,Krishna Khatri,MWF,Martin Hall,8:00:00,8:50:00
ECE,2010,Logic and Computing Devices,3,Lin Zhu,TR,Online,12:30:00,13:45:00
ECE,2720,Computer Organization,3,William J Reid III,TR,Online,12:30:00,13:45:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,M,Online,12:20:00,14:20:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,M,Online,16:00:00,18:00:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,T,Online,14:00:00,16:00:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,T,Online,16:00:00,18:00:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,W,Online,12:20:00,14:20:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,W,Online,16:30:00,18:30:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,R,Online,14:00:00,16:00:00
ECE,2730,Computer Organization Laboratory,1,Apoorva Deepak Kapadia,R,Online,16:40:00,18:40:00
